time,open,high,low,close,Volume,Volume MA
316708200,110.38,112.9,109.34,111.07,NaN,NaN
317313000,111.88,115.27,110.66,113.61,NaN,NaN
317917800,114.47,115.85,112.93,115.12,NaN,NaN
318522600,114.73,118.66,112.15,117.95,NaN,NaN
319127400,117.49,120.22,114.12,115.41,NaN,NaN
319732200,114.54,117.9,113.35,115.04,NaN,NaN
320337000,113.62,115.12,111.33,113.66,NaN,NaN
320941800,112.95,114.34,105.99,106.9,NaN,NaN
321546600,106.43,108.4,104.01,105.43,NaN,NaN
322151400,103.1,105.72,101.14,102.31,NaN,NaN
322756200,100.11,102.18,94.23,100.68,NaN,NaN
323361000,101.58,103.87,100.02,102.15,NaN,NaN
323965800,100.73,105.15,99.23,103.79,NaN,NaN
324570600,102.94,104.42,99.97,100.55,NaN,NaN
325175400,100,105.57,98.95,105.16,NaN,NaN
325776600,105.69,106.86,104.5,105.58,NaN,NaN
326381400,105.95,108.12,104.18,104.72,NaN,NaN
326986200,104.58,107.99,103.5,107.35,NaN,NaN
327591000,107.6,111.37,106.51,110.62,NaN,NaN
328195800,112.84,113.69,108.87,111.24,NaN,NaN
328800600,110.99,114.38,110.06,113.2,NaN,NaN
329405400,113.63,118.02,112.68,115.31,NaN,NaN
330010200,115.89,117.16,113.12,114.06,NaN,NaN
330615000,114.38,117.98,113.35,116,NaN,NaN
331219800,114.61,117.8,113.54,117.48,NaN,NaN
331824600,118.03,119.52,116.29,117.84,NaN,NaN
332429400,119.27,123.19,117.45,122.04,NaN,NaN
333034200,122.17,123.9,119.94,120.78,NaN,NaN
333639000,121.07,123.93,119.4,121.21,NaN,NaN
334243800,120.67,125.23,119.42,123.61,NaN,NaN
334848600,124.31,126.61,122.49,125.72,NaN,NaN
335453400,123.83,127.78,121.91,126.02,NaN,NaN
336058200,125.36,126.29,121.06,122.38,NaN,NaN
336663000,123.29,127.7,121.79,124.88,NaN,NaN
337267800,123.92,126.75,121.94,125.54,NaN,NaN
337872600,125.37,130.38,124.09,129.25,NaN,NaN
338477400,129.76,132.17,125.29,126.35,NaN,NaN
339082200,123.94,130.44,122.87,129.33,NaN,NaN
339687000,131.15,132.88,129.35,130.29,NaN,NaN
340291800,131.28,135.88,129.37,131.52,NaN,NaN
340896600,131.95,134.01,128.04,129.85,NaN,NaN
341505000,128.38,129.94,125.29,127.47,NaN,NaN
342109800,128.7,135.65,127.23,129.18,NaN,NaN
342714600,129.39,138.96,128.19,137.15,NaN,NaN
343319400,137.03,141.76,134.9,139.11,NaN,NaN
343924200,138.01,141.96,136.36,140.52,NaN,NaN
344529000,138.2,140.66,132.91,134.03,NaN,NaN
345133800,131.17,133.19,125.32,129.13,NaN,NaN
345738600,129.8,135.9,128.33,133.7,NaN,NaN
346343400,135.11,137.48,132.88,136.57,NaN,NaN
346948200,135.63,137.51,134.04,136.34,NaN,NaN
347553000,137.69,140.32,131.71,133.48,NaN,NaN
348157800,134.06,135.91,131.69,134.77,NaN,NaN
348762600,134.58,135.86,129,130.23,NaN,NaN
349367400,129.86,132.41,128.57,129.55,NaN,NaN
349972200,127.4,131.81,125.82,130.6,NaN,NaN
350577000,129.75,131.39,126.04,126.98,NaN,NaN
351181800,127.66,129.25,124.66,126.58,NaN,NaN
351786600,127.1,132.02,125.69,131.27,NaN,NaN
352391400,131.7,132.96,128.56,129.85,NaN,NaN
352996200,130.81,135.53,128.72,133.11,NaN,NaN
353601000,134.04,136.09,132.1,134.08,NaN,NaN
354205800,135.2,138.38,133.41,134.65,NaN,NaN
354810600,134.55,137.72,133.51,135.49,NaN,NaN
355415400,134.15,136.23,132.59,134.51,NaN,NaN
356020200,133.43,135.82,131.58,134.7,NaN,NaN
356625000,134.96,136.38,132.72,135.14,NaN,NaN
357226200,135.39,136.56,131.43,132.72,NaN,NaN
357831000,130.68,132.69,128.93,131.66,NaN,NaN
358435800,130.35,133.21,128.78,132.17,NaN,NaN
359040600,132.56,133.65,130.42,131.33,NaN,NaN
359645400,132.23,134.92,130.64,132.59,NaN,NaN
360250200,132.84,134.62,128.77,132.22,NaN,NaN
360855000,132.4,135.09,130.94,133.49,NaN,NaN
361459800,134.02,135.67,130.49,132.27,NaN,NaN
362064600,132.19,134.3,131.1,132.56,NaN,NaN
362669400,132.19,133.5,127.84,128.64,NaN,NaN
363274200,127.6,130.43,126.39,129.37,NaN,NaN
363879000,129.75,131.6,128.14,130.76,NaN,NaN
364483800,129.1,130.6,125.96,128.46,NaN,NaN
365088600,129.64,131.78,128.28,130.92,NaN,NaN
365693400,130.53,134.04,129.42,131.75,NaN,NaN
366298200,132.23,135.49,130.83,135.49,NaN,NaN
366903000,131.66,133.02,128.7,129.23,NaN,NaN
367507800,126.37,128.59,122.85,124.08,NaN,NaN
368112600,123.55,125.58,119.24,120.07,NaN,NaN
368717400,118.31,122.18,116.85,121.61,NaN,NaN
369322200,120.77,122,115.18,116.26,NaN,NaN
369927000,116.78,118.19,111.64,112.77,NaN,NaN
370531800,113.85,120.16,110.19,119.36,NaN,NaN
371136600,119.88,123.28,118.08,121.45,NaN,NaN
371741400,121.25,122.37,118.01,119.19,NaN,NaN
372346200,118.8,121.94,117.58,118.6,NaN,NaN
372954600,117.99,122.53,116.81,121.89,NaN,NaN
373559400,123.89,126,121.85,122.87,NaN,NaN
374164200,123,124.71,121.06,121.67,NaN,NaN
374769000,120.33,122.59,119.13,121.71,NaN,NaN
375373800,121.81,125.71,120.76,125.09,NaN,NaN
375978600,125.83,127.32,123.63,126.26,NaN,NaN
376583400,125.59,126.91,123.52,124.93,NaN,NaN
377188200,123.1,124.87,121.73,124,NaN,NaN
377793000,123.57,124.71,121.57,122.54,NaN,NaN
378397800,122.45,123.42,121.04,122.55,NaN,NaN
379002600,122.64,123.72,117.7,119.55,NaN,NaN
379607400,117.86,120.34,114.07,116.33,NaN,NaN
380212200,116.58,118.15,114.29,115.38,NaN,NaN
380817000,114.99,121.38,113.63,120.4,NaN,NaN
381421800,118.24,119.81,114.88,117.25,NaN,NaN
382026600,115.29,117.04,112.82,114.38,NaN,NaN
382631400,113.58,115.09,112.06,113.22,NaN,NaN
383236200,112.56,114.9,110.71,113.11,NaN,NaN
383841000,113.16,114.8,108.31,109.34,NaN,NaN
384445800,108.48,111.06,104.46,108.61,NaN,NaN
385050600,108.97,110.92,107.47,110.61,NaN,NaN
385655400,112.28,114.51,110.71,111.94,NaN,NaN
386260200,112,115.79,110.9,115.12,NaN,NaN
386865000,114.86,120.6,113.7,117.5,NaN,NaN
387469800,116.06,117.7,114.8,116.81,NaN,NaN
388074600,116.9,118.64,114.83,118.64,NaN,NaN
388675800,118.94,119.33,116.07,116.44,NaN,NaN
389280600,115.96,119.89,115.91,119.44,NaN,NaN
389885400,119.08,119.92,118.01,118.01,NaN,NaN
390490200,117.62,118.02,114.37,114.89,NaN,NaN
391095000,114.46,115.51,111.66,111.88,NaN,NaN
391699800,111.5,112.25,110.02,110.09,NaN,NaN
392304600,109.59,111.48,108.53,111.24,NaN,NaN
392909400,110.5,111.22,107.28,107.28,NaN,NaN
393514200,107.2,110.92,107.17,109.14,NaN,NaN
394119000,109.3,111.21,107.6,107.65,NaN,NaN
394723800,109.7,113,105.57,108.83,NaN,NaN
395328600,109.48,111.48,108.89,111.07,NaN,NaN
395933400,111.75,112.39,110.35,111.17,NaN,NaN
396538200,110.66,111.16,106.62,107.09,NaN,NaN
397143000,107.71,109.43,103.67,103.71,NaN,NaN
397747800,103.69,103.85,102.2,103.85,NaN,NaN
398352600,103.86,113.02,103.86,113.02,NaN,NaN
398957400,113.02,120.26,112.65,117.11,NaN,NaN
